airplane,"""airplane""","""airplane"""
alarm clock,"""alarm clock""","""airplane"", ""alarm clock"""
alligator,"""alligator""","""airplane"", ""alarm clock"", ""alligator"""
ambulance,"""ambulance""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"""
angel,"""angel""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"""
ant,"""ant""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"""
anvil,"""anvil""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"""
apple,"""apple""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"""
arm,"""arm""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"""
asparagus,"""asparagus""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"""
axe,"""axe""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"""
baby,"""baby""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"""
backbone,"""backbone""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"""
backpack,"""backpack""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"""
ball,"""ball""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"""
balloon,"""balloon""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"""
banana,"""banana""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"""
bandage,"""bandage""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"""
barn,"""barn""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"""
baseball,"""baseball""","""airplane"", ""alarm clock"", ""alligator"", ""ambulance"", ""angel"", ""ant"", ""anvil"", ""apple"", ""arm"", ""asparagus"", ""axe"", ""baby"", ""backbone"", ""backpack"", ""ball"", ""balloon"", ""banana"", ""bandage"", ""barn"", ""baseball"""
